repeat       mu           y
    1     -0.26564    -1.40394
    1     -0.76010     1.48604
    1     -0.05641     0.17532
    1     -1.20392    -1.23821
    1      1.26309    -0.15608
    1     -1.31858    -1.88208
    1      0.72556     1.28564
    1      0.39962     0.59765
    1      0.82131     0.25076
    1     -0.00940    -1.31713
    1     -0.50421    -0.71384
    1      0.04008     1.54899
    1      0.31335     1.75815
    1      0.29077     1.69635
    1      0.39240     0.23489
    1     -1.39579    -2.50551
    1     -0.69246    -2.17272
    1      0.60284    -1.09422
    1      0.42898    -0.39350
    1     -0.27782    -0.35081
    1     -0.28851    -0.42725
    1      0.91840     0.11059
    1      0.18936    -0.01194
    1     -1.02507    -0.96653
    1      0.51248     0.11870
    1     -0.32841     0.64786
    1      0.54192     0.84603
    1     -1.00257    -2.93206
    1      0.78734     2.71863
    1      0.74735     1.61619
    1      0.21260    -1.79429
    1      0.42983    -0.32434
    1      0.07825     0.99349
    1      0.65372    -0.01790
    1      1.19456     3.59205
    1      0.09633     1.27080
    1      0.34148    -0.43688
    1      0.97032     0.23331
    1     -0.55377     0.56860
    1     -0.81224    -2.32832
    1      0.87086    -0.03510
    1      0.37023     1.61866
    1      0.07939    -0.28712
    1     -0.43142    -2.74662
    1      1.69675     0.93067
    1     -0.80236    -0.19025
    1      0.12313     0.90019
    1     -0.38262    -0.46053
    1     -0.71943    -0.76643
    1     -0.34589     0.31306
    1      1.01757     0.12264
    1      1.22946     1.02254
    1     -0.20824    -2.19822
    1      0.37726    -0.74558
    1      0.37687    -0.94112
    1      0.73482     0.70558
    1      0.39375    -0.41472
    1     -0.58276    -1.00218
    1      0.24645    -1.13063
    1     -0.82099    -0.63221
    1      0.60394     0.52780
    1     -0.14215    -0.24588
    1      2.02036     2.51701
    1     -0.71357    -0.00575
    1      0.70192    -1.27310
    1     -1.91419    -3.39483
    1      0.79407     0.67625
    1      2.00141     0.50985
    1     -0.68568    -1.77276
    1      1.32215     1.73922
    1     -0.10127    -0.00438
    1     -1.33067    -1.22766
    1      0.82221     1.55036
    1     -0.25362    -0.61359
    1      0.08550    -0.00354
    1     -0.06986     0.97574
    1     -0.31518    -0.18072
    1      0.56420     1.23201
    1     -0.23658    -1.47021
    1     -0.01682    -0.16498
    1     -0.46345    -1.32605
    1     -0.40008    -0.07562
    1     -0.60255    -2.14515
    1     -0.31296    -0.68232
    1     -0.67534    -0.95206
    1      1.05134     0.78925
    1     -0.17458     0.90003
    1      0.45950     0.48265
    1      0.60322     0.28098
    1     -0.95627    -0.99669
    1     -0.57269    -1.80754
    1     -0.53883    -0.39471
    1     -0.28073    -1.84146
    1     -0.26911    -0.51203
    1     -0.40620    -1.25517
    1     -0.00878     0.37859
    1      0.20781     0.59604
    1      0.57212    -0.04493
    1     -0.96648     0.60650
    1     -0.61744    -0.66307
