repeat       mu           y
    1      1.17084     1.02382
    1     -1.04742    -0.26346
    1      0.84129     0.90854
    1      1.21017     2.02637
    1      1.56415     0.74989
    1     -0.63868    -0.27893
    1      0.08306     2.10219
    1     -0.16390    -1.17909
    1     -1.35068    -2.89183
    1     -0.90270    -0.97008
    1     -0.31971     0.65150
    1      0.32419     0.40437
    1     -0.82566    -1.44640
    1      0.26676     1.75050
    1      0.39844    -0.46863
    1     -0.49247     0.31681
    1      0.20482    -0.75219
    1      0.13388    -0.01442
    1      0.07846     0.47304
    1      0.11422     0.16025
    1     -0.40408     0.78829
    1      0.72060    -1.93439
    1      1.11763     3.06334
    1     -0.88238     0.19754
    1      0.61560     1.05393
    1     -0.49989     1.68116
    1     -0.81779    -0.61104
    1      0.74887     1.74118
    1     -0.15335    -0.10237
    1      0.55292     0.54478
    1     -0.26186    -1.14135
    1     -0.22656    -0.96257
    1     -2.02535    -1.71775
    1     -0.51995    -1.14249
    1      0.30842    -1.09243
    1      0.23552     2.05031
    1     -0.66049    -1.37750
    1      1.27140     0.88665
    1      0.38272    -1.97261
    1     -0.79785    -0.63689
    1      1.84066     1.44649
    1      0.39103    -1.45681
    1     -0.83560     0.08285
    1      0.12430     0.54314
    1      0.16814     0.51096
    1      0.07015     1.11876
    1      0.55805    -1.62432
    1     -0.25802    -0.67947
    1      0.74755     2.09919
    1      0.26269    -1.14731
    1     -0.36362     1.69481
    1      0.44610    -0.75963
    1     -0.18762    -1.42057
    1     -0.96000    -0.73729
    1      0.52253    -0.54622
    1     -0.65146    -2.44623
    1     -0.71813    -1.20597
    1      1.41342     2.41892
    1      0.50873     1.56612
    1      1.20431     2.40083
    1      0.63762     0.62704
    1     -0.32914     0.19882
    1      0.23227    -1.11862
    1      1.03823     2.27759
    1     -0.41661     0.88041
    1      1.21484     1.82357
    1      0.14897    -0.03971
    1     -1.20558    -2.26708
    1     -0.12372    -0.00833
    1      0.06576     0.45868
    1     -0.64340    -0.48473
    1     -0.06906    -0.70737
    1      0.73867     2.34718
    1     -0.43323    -0.87617
    1     -1.00648    -0.10884
    1      1.08357     0.56042
    1      0.87035     1.41123
    1     -1.43545    -0.50047
    1     -0.43028     0.62828
    1     -0.42292    -1.69947
    1     -0.04625     0.88131
    1      0.37126     0.67905
    1     -0.84852    -1.27969
    1     -1.39107    -0.29057
    1      0.08977     1.08389
    1     -0.42432     0.07583
    1     -0.82875     0.41459
    1     -0.91313    -2.12903
    1     -0.35427     0.75956
    1     -0.69930    -0.91529
    1     -0.11201    -1.12767
    1     -0.94756    -3.03134
    1     -0.83898    -1.85705
    1      0.00306     1.06828
    1     -0.76451    -0.89275
    1     -0.66150     2.10716
    1     -1.37673    -1.27442
    1      0.40363     0.96587
    1     -0.23357     0.71862
    1      0.85894     1.80753
    1     -0.83122     0.70738
    1      1.28020     2.41905
    1      0.21496    -0.54563
    1     -0.19154    -0.63730
    1      0.66418     1.58366
    1     -0.58828    -3.48147
    1     -0.33459    -2.00735
    1     -0.03861     0.98659
    1      0.09375     0.07007
    1      0.55215    -0.79055
    1     -0.08623     1.54919
    1     -0.58733    -0.39561
    1     -0.89236    -1.53115
    1     -0.58001     0.61399
    1     -0.34181     0.68181
    1      0.80700     1.18828
    1     -0.13149    -0.70342
    1      0.02154     0.99599
    1      0.07961    -0.65250
    1     -0.24025    -0.73119
    1      0.08307     0.87064
    1      0.27913     1.54217
    1     -0.77794    -2.40129
    1     -0.18239    -0.31844
    1     -0.90611    -2.66992
    1     -0.92108    -0.95914
