repeat       mu           y
    1      0.34543    -0.04848
    1     -1.08513    -1.58154
    1      0.38003     0.57239
    1     -1.59059    -1.83218
    1      1.20304    -0.00753
    1     -1.86322    -2.36518
    1      0.25688     1.86578
    1     -0.02251    -1.20357
    1      0.88109     0.65075
    1      0.15160     1.69877
    1      0.09942    -0.30564
    1      0.21691    -1.01353
    1      0.78857     1.41287
    1      0.77544     0.51046
    1      0.35800     2.60448
    1     -0.58054    -0.70424
    1     -0.35236    -1.82968
    1      0.64186     2.15130
    1      0.48590    -0.56324
    1     -0.73788     0.77150
    1      0.59091     2.42218
    1      0.69228    -0.05656
    1     -0.30727    -1.73645
    1     -0.43783     3.33297
    1      1.20625     0.97643
    1     -0.83984    -1.31464
    1      0.83927     1.97064
    1     -0.49718     1.28713
    1      0.11872    -1.43130
    1      0.45650     0.83508
    1      0.23025     1.49538
    1     -0.23613     0.18569
    1      0.26401     0.15993
    1      0.24416     1.00365
    1      0.78865     0.54289
    1     -0.24963    -0.48577
    1      0.31429    -1.22617
    1      0.25021     1.33726
    1     -0.21743    -0.06653
    1     -0.28714     1.17314
    1      0.69973     0.54478
    1      0.31072     2.23828
    1      0.87169     0.12803
    1      0.36074    -0.00988
    1      1.48222     2.63582
    1     -0.36406    -0.24578
    1      0.11499     0.00404
    1     -1.15595     0.66410
    1     -0.40551    -0.04544
    1      0.15259     2.65531
    1      0.56335     1.42530
    1      0.91630     1.07348
    1     -0.02231    -0.11453
    1      0.89357     2.60202
    1     -0.49672    -0.80154
    1      0.08758    -0.05780
    1      0.85241     0.77572
    1     -0.41283     0.90530
    1      0.12877     1.22282
    1     -0.69526     0.62183
    1     -0.39518    -1.32923
    1     -0.06067     1.16923
    1      2.08273     2.86593
    1     -0.75403    -1.28337
    1      0.95535     1.40295
    1     -1.75479    -2.35198
    1     -0.08170     0.97648
    1      1.80804     1.96772
    1     -1.16509    -1.44042
    1      2.39025     4.11707
    1      0.42272    -1.45149
    1     -0.83111    -0.62072
    1      0.84748     0.49551
    1     -0.41056    -0.89677
    1     -0.00380     0.19998
    1      0.04202    -0.81816
    1     -0.48525    -0.20361
    1     -0.27902     0.03026
    1      0.03196    -0.50057
    1      0.62623    -0.06626
    1     -0.89414    -0.33895
    1      0.24559    -0.73810
    1     -0.39744    -0.45069
    1     -0.27363     1.29908
    1     -0.65617     0.44089
    1      0.67423    -0.05491
    1     -0.31398    -1.23787
    1      0.95228    -0.02099
    1     -0.57105    -0.28121
    1     -0.79516    -0.66527
    1     -0.62700     1.00209
    1     -0.41057    -0.81225
    1      0.14851     0.89646
    1     -1.08738    -1.51815
    1      0.19220    -0.52317
    1      0.65105    -0.24323
    1      0.90808     0.95136
    1      1.00073    -0.94988
    1     -0.41368    -0.60667
    1     -0.21930     1.37619
    1      0.46546     0.33385
    1     -1.14973    -0.92587
    1     -0.48698    -0.44459
    1     -0.48080    -1.38281
    1     -0.98885    -2.43466
    1     -0.98916    -0.44409
    1     -0.72220     0.34705
    1     -0.18564    -0.51686
    1      0.45620     0.28781
    1      0.07003    -0.43170
