repeat       mu           y
    1      0.33906    -0.79924
    1     -0.19182     2.05433
    1      0.53288     0.76461
    1      0.80143     0.76714
    1      0.02459    -1.39458
    1     -0.56691    -1.13042
    1      0.70240     1.26247
    1      0.74147     0.93950
    1     -1.18410    -1.75465
    1     -1.28402    -2.59174
    1     -0.33139    -0.54102
    1      0.76659     2.27549
    1     -0.27586     1.16894
    1     -0.68637     0.71922
    1      0.65588     0.49836
    1     -0.99925    -2.10897
    1     -1.40194    -2.88219
    1     -0.20345    -1.90050
    1     -0.55322    -1.37569
    1     -0.19294    -0.26594
    1     -0.31057    -0.44932
    1      0.06239    -0.74543
    1     -0.31680    -0.51811
    1      0.58312     0.64166
    1      0.70640     0.31262
    1     -0.62030     0.35597
    1     -1.10622    -0.80211
    1      0.58387    -1.34563
    1      0.66172     2.59300
    1     -0.66214     0.20669
    1     -0.43928    -2.44616
    1      0.04283    -0.71134
    1     -2.12279    -1.20755
    1     -1.39662    -2.06824
    1      0.86147     3.25895
    1      0.45112     1.62558
    1      1.93388     1.15552
    1     -0.55443    -1.29144
    1      1.33084     2.45320
    1     -0.49727    -2.01336
    1      1.39517     0.48921
    1     -0.42616     0.82227
    1      0.67904     0.31253
    1      0.55007    -1.76513
    1      0.62778    -0.13830
    1      0.11620     0.72832
    1     -0.01756     0.75950
    1     -0.19764    -0.27555
    1      0.07957     0.03257
    1      0.52559     1.18454
    1     -0.07964    -0.97457
    1      0.60989     0.40297
    1     -0.42076    -2.41074
    1      0.38562    -0.73722
    1      0.04179    -1.27621
    1      0.33994     0.31070
    1      0.81984     0.01137
    1     -0.20154    -0.62095
    1      0.71047    -0.66661
    1      1.15517     1.34394
    1     -0.06698    -0.14312
    1     -0.21436    -0.31809
    1     -0.37507     0.12158
    1      0.70913     1.41695
    1     -0.74597    -2.72099
    1     -0.45109    -1.93172
    1      0.48862     0.37080
    1      0.02653    -1.46503
    1      0.00895    -1.07813
    1      0.41010     0.82717
    1      0.28823     0.38512
    1      0.38491     0.48792
    1      0.85314     1.58130
    1     -2.02318    -2.38315
    1     -0.36390    -0.45294
    1      1.37816     2.42375
    1      0.33046     0.46491
    1     -0.38294     0.28487
    1     -0.25108    -1.48472
    1      0.44135     0.29319
    1     -0.03301    -0.89561
    1      0.83482     1.15929
    1      0.46347    -1.07914
    1     -1.22635    -1.59571
    1      0.77248     0.49576
    1     -0.83281    -1.09490
    1     -0.88639     0.18822
    1     -0.74084    -0.71769
    1      0.88147     0.55922
    1      0.78690     0.74649
    1      0.17331    -1.06154
    1      0.69897     0.84309
    1     -0.74572    -2.30645
    1     -0.36541    -0.60833
    1      0.44933    -0.39964
    1     -0.45534    -0.06798
    1     -0.95141    -0.56319
    1      0.56662    -0.05043
    1     -0.52346     1.04951
    1     -1.06928    -1.11491
    1      0.28036     0.24561
    1      1.16992    -0.05809
    1     -0.63554    -1.50787
    1     -0.23227    -0.30644
    1      0.15618    -0.32598
    1     -0.81493    -3.18539
    1     -1.21983    -1.89863
    1      0.48644     0.15594
    1      0.23993     0.03004
    1     -0.49150     0.61332
    1     -1.48448    -0.32497
    1      1.28035     1.19650
    1     -0.11148    -0.70062
    1      0.33383     0.94050
    1      0.39888     0.21600
    1      0.23853    -1.72899
    1     -0.51371     1.18997
    1     -0.08224     0.87606
    1     -0.40949    -0.67769
    1     -0.48869    -1.54993
    1     -0.72109    -2.00649
    1     -1.32899    -1.89191
    1      0.08415     1.78358
    1     -1.30678    -2.33985
    1     -1.13578    -1.25456
    1     -1.14405    -2.08612
    1     -0.20640     0.04553
    1     -0.84056    -2.65901
    1     -0.04329    -0.46279
    1     -0.70094    -1.60325
    1     -0.28409    -0.47988
    1     -0.02129     1.24456
    1     -0.96348    -2.32809
    1      0.81446     0.16620
    1      0.84960     0.68747
    1     -0.72710     0.88774
    1      0.18463    -0.79570
    1     -0.51622    -0.75971
    1     -0.29877    -0.14901
    1     -0.36688     1.46312
    1     -1.19401    -1.64429
    1     -0.14724    -1.55577
    1     -0.50277    -1.46334
    1     -1.38503    -2.01975
    1     -0.75706     0.97905
    1      0.45276     0.77894
    1     -1.27651    -1.66481
    1      0.11475    -0.82205
    1     -0.01886    -0.15638
    1      0.31466    -0.05842
    2      0.33906    -0.16940
    2     -0.19182     2.31127
    2      0.53288     0.97657
    2      0.80143    -1.28407
    2      0.02459     1.33591
    2     -0.56691     0.49772
    2      0.70240     0.25844
    2      0.74147     0.58855
    2     -1.18410    -1.53439
    2     -1.28402    -0.87144
    2     -0.33139     1.09386
    2      0.76659     0.18382
    2     -0.27586    -0.86190
    2     -0.68637    -0.10874
    2      0.65588     2.60588
    2     -0.99925    -0.11418
    2     -1.40194    -2.62736
    2     -0.20345     1.19104
    2     -0.55322    -0.68043
    2     -0.19294    -0.72597
    2     -0.31057    -1.26344
    2      0.06239     1.84406
    2     -0.31680     0.36050
    2      0.58312     0.31649
    2      0.70640     1.83272
    2     -0.62030    -2.32398
    2     -1.10622    -1.23522
    2      0.58387    -0.51270
    2      0.66172     1.29788
    2     -0.66214     0.42795
    2     -0.43928    -0.10703
    2      0.04283    -0.06181
    2     -2.12279    -2.74527
    2     -1.39662    -1.12242
    2      0.86147    -0.48047
    2      0.45112    -1.00128
    2      1.93388     0.83695
    2     -0.55443    -1.15060
    2      1.33084     1.02775
    2     -0.49727    -1.71293
    2      1.39517    -0.96607
    2     -0.42616     0.88793
    2      0.67904     1.61988
    2      0.55007     2.20786
    2      0.62778     0.29545
    2      0.11620    -0.00141
    2     -0.01756     0.47060
    2     -0.19764     0.60639
    2      0.07957    -0.22723
    2      0.52559     1.46316
    2     -0.07964     0.27392
    2      0.60989    -0.33254
    2     -0.42076    -0.08509
    2      0.38562     1.51723
    2      0.04179    -0.00344
    2      0.33994     0.70029
    2      0.81984     1.31974
    2     -0.20154     0.69628
    2      0.71047     0.86302
    2      1.15517     0.63303
    2     -0.06698     0.72753
