repeat    mu        y
    1      0    -0.76879
    1      0     0.51856
    1      0    -0.53851
    1      0    -1.69787
    1      0    -1.02089
    1      0     1.26723
    1      0     1.57882
    1      0     0.88194
    1      0    -0.64124
    1      0     0.35544
    1      0    -0.70141
    1      0     0.45083
    1      0     0.13387
    1      0     0.54048
    1      0    -1.08295
    1      0    -0.05725
    1      0     2.15184
    1      0    -1.52994
    1      0     0.85146
    1      0    -1.09921
    1      0    -2.25539
    1      0    -3.09109
    1      0     0.51501
    1      0    -0.55351
    1      0     0.39373
    1      0     0.08367
    1      0    -0.31511
    1      0     1.49982
    1      0     0.39402
    1      0     0.16926
    1      0     0.41754
    1      0    -0.02551
    1      0     1.00777
    1      0     0.09593
    1      0    -0.79582
    1      0     1.09356
    1      0     0.37710
    1      0    -1.23748
    1      0    -0.60232
    1      0    -1.44378
    1      0    -0.65641
    1      0     0.49555
    1      0    -0.84273
    1      0     0.40702
    1      0    -0.60776
    1      0    -0.80892
    1      0    -0.55828
    1      0     0.86401
    1      0     0.47720
    1      0     0.15790
    1      0    -0.90129
    1      0     0.25543
    1      0     1.20914
    1      0    -0.91321
    1      0    -0.35014
    1      0    -0.97761
    1      0     0.26173
    1      0    -1.15008
    1      0     2.26180
    1      0    -0.48501
    1      0     0.44854
    1      0    -1.30921
    1      0    -0.63024
    1      0    -0.19031
    1      0     1.72095
    1      0    -0.96120
    1      0    -0.54733
    1      0     0.74792
    1      0    -0.53372
    1      0    -2.19014
    1      0     0.51732
    1      0    -2.15694
    1      0     0.00657
    1      0    -0.43271
    1      0    -0.58245
    1      0     1.10994
    1      0    -0.27424
    1      0     1.22031
    1      0     0.93999
    1      0    -0.01512
    1      0     0.29483
    1      0    -0.03273
    1      0    -1.00869
    1      0     1.44833
    1      0     1.05709
    1      0     1.01355
    1      0    -1.52034
    1      0     0.22618
    1      0     0.70975
    1      0    -1.34138
    1      0     0.42222
    1      0     1.05896
    1      0    -0.37506
    1      0     0.66688
    1      0    -0.69698
    1      0     1.16108
    1      0    -1.90838
    1      0     1.12551
    1      0     0.41615
    1      0    -2.95129
    1      0    -1.54057
    1      0     0.58154
    1      0    -0.82841
    1      0    -0.01142
    1      0     0.76850
    1      0     0.54064
    1      0     0.23470
    1      0     1.41147
    1      0    -0.87811
    1      0     0.28699
    1      0     0.71441
    1      0    -0.90722
    1      0    -0.28888
    1      0    -0.65620
    1      0    -0.36110
    1      0     1.92566
    1      0     0.20610
    1      0     1.73835
    1      0     0.38060
    1      0     1.11266
    1      0     1.52644
    1      0     0.66773
    1      0    -0.40851
    1      0    -0.60005
    1      0    -1.70578
    1      0    -0.32539
    1      0    -0.24100
    1      0     0.33809
    1      0    -0.58748
    1      0    -0.03258
    1      0     0.22539
    1      0    -0.61437
    1      0    -1.44480
    1      0     1.97434
    1      0    -0.15371
    1      0     0.89388
    1      0     0.25144
    1      0    -1.38355
    1      0    -0.02340
    1      0    -0.61612
    1      0     0.05546
    1      0     1.55410
    1      0     0.81141
    1      0     1.17599
    1      0    -1.14556
    1      0     1.42419
    1      0     1.58148
    1      0     1.14665
    1      0    -0.80021
    1      0     0.69848
    2      0     1.51333
    2      0     0.41767
    2      0     0.90225
