repeat       mu           y
    1      0.23685    -0.48318
    1     -0.57691    -1.03879
    1      1.15001     1.40354
    1      0.44806     0.82055
    1      0.33011    -1.10415
    1     -1.01793    -0.44688
    1      1.12823     2.22772
    1      0.72036     2.25496
    1     -1.28119    -0.19978
    1     -2.48245    -1.97861
    1     -0.07061     1.08832
    1      1.40498     1.35659
    1     -0.23697     0.65443
    1     -0.52464    -0.72439
    1      1.46394     0.94461
    1     -0.67023     0.95713
    1      0.64666    -0.99351
    1      0.53871     0.34424
    1      0.44224     2.48208
    1     -0.03982     0.75746
    1     -0.15872     1.49589
    1      0.45313    -0.49872
    1     -0.98755    -0.17551
    1     -0.43872    -0.17518
    1      0.41771     1.61696
    1      0.24478     0.27390
    1      0.15160     2.18418
    1      0.43159     0.04132
    1      0.54996     0.58667
    1      0.36853     0.45589
    1     -0.75672    -0.49764
    1     -0.87791    -0.27206
    1     -1.74528    -1.75017
    1     -0.26934    -0.07846
    1      0.85850     2.51355
    1      1.38753     1.17276
    1     -0.07165    -0.51956
    1      0.75965     1.20426
    1      1.33866     2.23493
    1      0.56468     0.15337
    1      1.06937     1.33674
    1      0.04054    -1.69155
    1     -0.06749     0.49100
    1      0.01932    -0.51680
    1     -0.16501     0.07915
    1      0.35202    -0.17085
    1      0.92555     1.27810
    1      0.65114     0.29082
    1     -0.18038     0.09919
    1      0.35283    -0.27065
    1     -0.76780    -1.23358
    1      0.65017     1.41779
    1      1.03078     1.92315
    1     -1.48277    -1.48976
    1      0.11404     0.35330
    1      0.36459     2.63280
    1     -0.51619     1.40424
    1     -0.67322    -1.08106
    1      1.02716     0.87423
    1      2.09795     3.56402
    1      0.55144     1.29931
    1      0.51216     1.48878
    1     -0.08805    -1.21771
    1      0.29759    -0.39499
    1     -0.45308    -1.12834
    1      0.00216     2.61362
    1      0.24471     0.67309
    1     -0.71788     0.27649
    1      0.51357    -1.07210
    1     -0.51479     0.63315
    1      0.23833    -0.96572
    1     -0.22723     1.25978
    1      0.11077     0.40058
    1     -1.07257     1.36041
    1     -0.30705    -0.08317
    1      0.80713     0.88594
    1      0.53058     0.99734
    1     -0.46620    -0.69290
    1     -1.08114     0.81286
    1     -0.05597    -1.35445
    1     -0.15626    -0.35553
    1     -0.94237    -0.18529
    1     -0.79570    -0.66316
    1     -0.27235    -0.43903
    1      1.64047     1.08908
    1     -0.16469    -1.46904
    1      0.12727    -0.38688
    1     -0.84291     0.63880
    1     -0.12030     0.35046
    1     -0.16993    -0.00379
    1     -0.48893     0.25728
    1     -0.04952    -0.40963
    1      0.51039     1.01276
    1     -0.08940     0.78967
    1     -0.81630     0.21276
    1     -0.97751    -0.95459
    1     -0.14163    -0.34838
    1     -0.18517     1.02230
    1     -0.29163    -0.51590
    1      0.08070     0.32578
    1     -0.40393    -1.75376
    1      1.52594     1.66677
    1     -0.80488    -0.42314
    1     -0.08691    -0.78762
    1      0.07177     2.15850
    1     -1.20549    -0.61558
    1     -0.27894     1.74596
    1      0.43131     1.34776
    1     -0.28663     0.03453
    1      0.52788     1.33994
    1      0.25976     2.60512
    1      0.25903     1.60388
    1      0.20432    -1.05686
    1      0.09312    -1.12029
